"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,17343.89,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,18152.05,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,18519.08,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,19040.56,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,19015.18,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,19233.02,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,19041.2,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,18752.22,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,18713.54,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,18631.27,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,18775.44,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,19265.99,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,20968.2,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,21080.78,,
"GBR","United Kingdom","EXR","In 2018 constant prices at 2018 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,21498.65,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,0.49,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,0.49,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,0.49,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,0.49,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,0.5,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,0.51,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,0.53,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,0.55,,
"MEX","Mexico","EXR","In 2018 constant prices at 2018 USD exchange rates","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,0.57,,
